LOCATION,FOREST TYPE,LATITUDE,LONGITUDE,REFERENCE,,,,
E-Germany,DF,51.00 N,12.00 E,221,,,,
US-WA-WREF,EF,45.49 N,121.58 W,222,,,,
US-NH,DF,43.56 N,71.45 W,223,,,,
RUS,EF,60.00 N,30.00 E,224,,,,
AUS,EF,35.30 S,150.15 E,225,,,,
AUS,EF,37.33 S,145.27 E,225,,,,
AUS,EF,35.25 S,148.55 E,225,,,,
RUS,EF,63.94 N,57.89 E,225,,,,
AUS,EF,43.09 S,146.66 E,226,,,,
E-Germany,DF,51.72 N,9.62 E,227,,,,
US-IN,DF,38.45 N,86.25 W,228,,,,
US-MN,DF,48.60 N,93.40 W,229,,,,
US-AK,EF,60.54 N,150.76 W,230,,,,
US-NC,DF,35.91 N,79.05 W,231,,,,
US-MN-MEF,EF,47.32 N,93.28 W,231,,,,
US-CO-FEF,EF,39.85 N,105.91 W,231,,,,
US-PNW-OR,EF,44.30 N,122.30W,70,,,,
CA,TR,8.78 N,82.95 W,189,,,,
CA,T,9.16 N,79.85 W,61,,,,
A,TD,6.15 N,0.91 W,179,,,,
CA-MEX,TD,20 N,88 W,14,,,,
SA ,TR,2.30 S,60 W,62,,,,
AUS,TR,18.5 S,146.12 E,128,,,,
AS,TR,2.95 N,102.25 E,131,,,,
CA,TR,18.28 N,066.07 W,58,,,,
CA,TR,9.16 N,79.85 W,59,,,,
AS,ST,23.25 N,112.5 E,232,,,,
CA,TD,18.82 N,89.45 W,233,,,,
AUS,EF,35.3 S,149.3 E,234,,,,
E,EF,52.95 N,7.25 W,235,,,,
US-TN,DF,35.4 N,83.3 W,236,,,,
SA ,TR,12.58 S,69.18 W,237,,,,
A,TR,1.0 S,100.5 E,238,,,,
CA-MEX,TR,18.58 N,95.08 W,231,,,,
CA-MEX,TD,18.5 N,88.5 W,231, ,,, 
